"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",5.4,43,1,0,0,0,1461,0,0,1949
"2",5.1,34,1,0,0,0,730,0,0,1561
"3",5.4,41,1,0,0,0,1217,0,0,1819
"4",4.9,34,1,0,0,0,1098,0,0,1790
"5",5.2,49,1,0,0,0,2197,0,0,2375
"6",5.4,30,1,0,0,0,574,0,0,1209
"7",5.6,35,1,0,0,0,586,0,0,1563
"8",4.6,31,1,0,0,0,883,0,0,1643
"9",5.9,58,1,0,0,0,2118,0,0,2348
"10",3.6,23,1,0,0,0,963,0,0,1612
"11",3.4,23,1,0,0,0,1168,0,0,1719
"12",5.7,47,1,0,0,0,1801,0,0,2154
"13",3.3,20,1,0,0,0,892,0,0,1567
"14",3.3,30,1,0,0,0,2177,0,0,2347
"15",5.3,28,1,0,0,0,577,0,0,1150
"16",3.9,26,1,0,0,0,796,0,0,1589
"17",3.4,22,1,0,0,0,1101,0,0,1682
"18",5.4,50,1,0,0,0,2142,0,0,2335
"19",3.6,24,1,0,0,0,1143,0,0,1757
"20",4.5,35,1,0,0,0,1340,0,0,1890
"21",5.8,41,1,0,0,0,973,0,0,1735
"22",5.4,37,1,0,0,0,1139,0,0,1830
"23",5.3,22,1,0,0,0,2216,0,0,940
"24",4.8,30,1,0,0,0,578,0,0,1481
"25",4,35,1,0,0,0,2181,0,0,2379
"26",4.7,30,1,0,0,0,733,0,0,1548
"27",5.5,49,1,0,0,0,1953,0,0,2240
"28",4.9,44,1,0,0,0,2106,0,0,2316
"29",4,39,1,0,0,0,2235,0,0,2392
"30",4.8,20,1,0,0,0,2511,0,0,937
"31",5.7,52,1,0,0,0,2043,0,0,2256
"32",5.9,29,1,0,0,0,1344,0,0,1000
"33",4.9,27,1,0,0,0,285,0,0,1294
"34",4,28,1,0,0,0,1504,0,0,1951
"35",4.4,24,1,0,0,0,478,0,0,1227
"36",5.2,27,1,0,0,0,848,0,0,1129
"37",5.9,58,1,0,0,0,2096,0,0,2309
"38",4.5,42,1,0,0,0,2110,0,0,2348
"39",6,54,1,0,0,0,1854,0,0,2229
"40",4.4,39,1,0,0,0,2002,0,0,2273
"41",3.8,21,1,0,0,0,92,0,0,1301
"42",3,21,1,0,0,0,1454,0,0,1892
"43",5.5,25,1,0,0,0,2438,0,0,899
"44",5.1,33,1,0,0,0,865,0,0,1665
"45",4.4,21,1,0,0,0,948,0,0,1104
"46",2.7,22,1,0,0,0,1904,0,0,2155
"47",5.2,43,1,0,0,0,1715,0,0,2108
"48",3.1,22,1,0,0,0,1464,0,0,1842
"49",4.1,29,1,0,0,0,1237,0,0,1788
"50",4.4,39,1,0,0,0,1820,0,0,2083
"51",5.2,30,1,0,0,0,311,0,0,1269
"52",5.9,29,1,0,0,0,1094,0,0,1082
"53",2.6,24,1,0,0,0,2129,0,0,2301
"54",5.9,37,1,0,0,0,560,0,0,1599
"55",3.1,27,1,0,0,0,2112,0,0,2293
"56",5.6,32,1,0,0,0,23,0,0,1383
"57",4.9,44,1,0,0,0,1921,0,0,2208
"58",3.5,27,1,0,0,0,1755,0,0,2065
"59",5.3,33,1,0,0,0,175,0,0,1452
"60",4.7,36,1,0,0,0,1462,0,0,1948
"61",5,46,1,0,0,0,1997,0,0,2239
"62",5,34,1,0,0,0,779,0,0,1585
"63",3.7,30,1,0,0,0,1985,0,0,2243
"64",4.8,30,1,0,0,0,103,0,0,1340
"65",5,40,1,0,0,0,1748,0,0,2102
"66",4.2,34,1,0,0,0,1801,0,0,2136
"67",5.6,50,1,0,0,0,1887,0,0,2187
"68",5.7,33,1,0,0,0,299,0,0,1351
"69",4.1,25,1,0,0,0,778,0,0,1533
"70",3.3,32,1,0,0,0,2145,0,0,2356
"71",5.8,42,1,0,0,0,1425,0,0,1947
"72",4.8,43,1,0,0,0,2017,0,0,2262
"73",6,27,1,0,0,0,2622,0,0,912
"74",6,45,1,0,0,0,1383,0,0,1968
"75",4.7,33,1,0,0,0,1214,0,0,1779
"76",4.4,38,1,0,0,0,1893,0,0,2164
"77",4.6,30,1,0,0,0,1023,0,0,1667
"78",3.7,26,1,0,0,0,1550,0,0,1983
"79",4.1,27,1,0,0,0,940,0,0,1641
"80",3.7,33,1,0,0,0,1986,0,0,2273
"81",5.5,38,1,0,0,0,945,0,0,1707
"82",4.9,37,1,0,0,0,1294,0,0,1821
"83",5.7,43,1,0,0,0,1280,0,0,1883
"84",3.3,29,1,0,0,0,2104,0,0,2309
"85",5.6,21,1,0,0,0,3954,0,0,815
"86",5.2,40,1,0,0,0,1256,0,0,1870
"87",5.9,51,1,0,0,0,1887,0,0,2197
"88",4.4,42,1,0,0,0,1997,0,0,2244
"89",5.3,34,1,0,0,0,818,0,0,1592
"90",5,33,1,0,0,0,777,0,0,1615
"91",3.5,25,1,0,0,0,1422,0,0,1912
"92",5.9,24,1,0,0,0,2706,0,0,853
"93",4.2,35,1,0,0,0,1760,0,0,2102
"94",4.9,37,1,0,0,0,1549,0,0,1998
"95",5.7,47,1,0,0,0,1754,0,0,2155
"96",5.6,48,1,0,0,0,1804,0,0,2166
"97",5.5,37,1,0,0,0,838,0,0,1715
"98",5.2,41,1,0,0,0,1626,0,0,2009
"99",5,26,1,0,0,0,651,0,0,1139
"100",3.6,24,1,0,0,0,1006,0,0,1612
"101",5.3,35,1,0,0,0,1028,0,0,1672
"102",3.2,32,1,0,0,0,2269,0,0,2398
"103",3.8,25,1,0,0,0,679,0,0,1517
"104",4.6,41,1,0,0,0,1827,0,0,2115
"105",5,35,1,0,0,0,1041,0,0,1775
"106",5.2,23,1,0,0,0,2191,0,0,955
"107",5,40,1,0,0,0,1902,0,0,2178
"108",5.1,27,1,0,0,0,834,0,0,1163
"109",5.3,40,1,0,0,0,1699,0,0,2062
"110",5.1,42,1,0,0,0,1768,0,0,2129
"111",4.9,22,1,0,0,0,1903,0,0,960
"112",5.5,27,1,0,0,0,1230,0,0,1082
"113",2.7,24,1,0,0,0,2126,0,0,2320
"114",5,34,1,0,0,0,979,0,0,1744
"115",3.8,26,1,0,0,0,1270,0,0,1878
"116",4.9,31,1,0,0,0,653,0,0,1586
